,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
128,Global Crises And Equity Market Contagion,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
129,Global Crises And Equity Market Contagion,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
130,Global Crises And Equity Market Contagion: Lessons From 2007-2009,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
131,130 Years Of Fiscal Vulnerabilities And Currency Crashes In Advanced Economies,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
132,Chinas Dominance Hypothesis And The Emergence Of A Tri-Polar Global Currency System,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
133,Do We Have A Tripolar Monetary System?,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
134,When Did The Dollar Overtake Sterling As The Leading International Currency? Evidence From The Bond Markets,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
135,When Did The Dollar Overtake Sterling As The Leading International Currency? Evidence From The Bond Markets,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
136,"History, Gravity, And International Finance",2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
137,"History, Gravity And International Finance",2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
138,What Explains The Recent Rise In Non-Traditional Reserve Currencies?,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
139,Is There Room For More Than One International Currency?,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
140,"Mutual Assistance Between Federal Reserve Banks, 1913-1960 As Prolegomena To The Target2 Debate",2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
141,The Target2 Controversy,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
142,"Cables, Sharks And Servers: Technology And The Geography Of The Foreign Exchange Market",2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
143,"Cables, Sharks And Servers: Technology And The Geography Of The Foreign Exchange Market",2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
144,"Cables, Sharks, And The Geography Of The Foreign Exchange Market",2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
145,Financial Globalisation And Monetary Policy Effectiveness,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
146,On The Global Financial Market Integration Swoosh And The Trilemma,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
147,Mars Or Mercury? The Geopolitics Of International Currency Choice,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
148,The Geopolitics Of International Currency Choice,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
149,The Geopolitics Of Bilateral Trade Agreements,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
150,Distance(S) And The Volatility Of International Trade(S),2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
151,Fast Trading And The Virtue Of Entropy,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
152,Does A Big Bazooka Matter? Quantitative Easing Policies And Exchange Rates,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
153,Distance makes international linkages more volatile,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
154,Central bank digital currency in an open economy,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
155,Patterns in invoicing currency in global trade,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
156,The international dimension of a central bank digital currency,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
157,Quantitative easing policies and exchange rates,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,principal economist,Arnaud Mehl
158,Technology and the geography of the foreign exchange market,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,director general,Arnaud Mehl
159,Fundamentals vs. policies: can the US dollar's dominance in global trade be dented?,2001.0,universit?© paris-dauphine,european central bank,principal economist,european central bank,director general,Arnaud Mehl
