,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
178,"How Private Creditors Fared In Emerging Debt Markets, 1970-2000",1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
179,International Portfolio Holdings And Swiss Franc Asset Returns,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
180,The Politics Of Debt Crises,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
181,German Bank Lending During Financial Crises: A Bank Level Analysis,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
182,Why Are Returns On Swiss Franc Assets So Low? Rare Events May Solve The Puzzle,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
183,Basel Ii And Bank Lending To Emerging Markets: Micro Evidence From German Banks,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
184,"International Competitiveness, Job Creation And Job Destruction - An Establishment Level Study Of German Job Flows",1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
185,Reforming Global Governance: How To Make The Imf More Independent,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
186,"Offshoring, Firm Performance And Establishment-Level Employment: Identifying Productivity And Downsizing Effects",1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
187,Real Effects Of Bank Governance: Bank Ownership And Corporate Innovation,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
188,The Plant-Level Employment Effect Of Offshoring: Evidence From Germany,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
189,Three Birds With One Stone: The G20 And Systemic Externalities,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
190,European Debt Restructuring Mechanism As A Tool For Crisis Prevention,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
191,A European Redemption Pact,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
192,"Manifesto For A Banking Union By Economists In Germany, Austria And Switzerland",1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
193,Learning From Past Crises: Into The Safety Zone,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
194,Financial Sector Reform After The Crisis: Has Anything Happened?,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
195,The Wisdom Of Karlsruhe: The Omt Court Case Should Be Dismissed,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
196,A Rating Agency For Europe  A Good Idea?,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
197,A Rating Agency For Europe  A Good Idea?,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
198,How Have Financial Markets Reacted To Financial-Sector Reforms After The Crisis?,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
199,Revisiting Sovereign Bankruptcy,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
200,Orderly Debt Reduction Rather Than Permanent Mutualisation Is The Way To Go,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
201,Global Bank Lending Flows: Identifying The Flight Home Effect,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
202,Cepr Report: A New Start For The Eurozone: Dealing With Debt,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
203,Debt Sustainability Puzzles: Implications For Greece,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
204,Causes Of A Continuing Crisis: Not Dealing With Debt,1993.0,university of basel,university of  mainz,professor,university of mainz,professor,Beatrice Weder Di Mauro
