,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
288,Sexual Orientation And Earnings,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
289,The Lits Survey: A Decade Of Measuring Transition,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
290,"Globalization, Government Popularity, And The Great Skill Divide",2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
291,"Globalisation, Government Popularity, And The Great Skill Divide",2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
292,Gay Glass Ceilings: Sexual Orientation And Workplace Authority In The Uk,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
293,"Globalization, Government Popularity, And The Great Skill Divide",2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
294,Marriage Equality And Tolerance Towards Lgbt,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
295,Automation In The Transition Region,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
296,Self-Selection And Sorting Among Refugees And Irregular Migrants To Europe,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
297,Do Laws Shape Attitudes? Evidence From Same-Sex Relationship Recognition Policies In Europe,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
298,"Exposure To Transit Migration, Public Attitudes And Entrepreneurship",2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,,,Cevat Giray Aksoy
299,Will COVID-19 renew or diminish trust in science?,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
300,Exposure to transit migration: Public attitudes and entrepreneurship,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
301,The Political Scar of Epidemics,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
302,The political scar of epidemics,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
303,The Political Scar of Epidemics,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
304,Robots and the gender pay gap in Europe,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
305,Revenge Of The Experts: Will Covid-19 Renew Or Diminish Public Trust In Science?,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
306,Vaccine Challenges,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
307,Revenge Of The Experts: Will Covid-19 Renew Or Diminish Public Trust In Science?,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
308,Local Conditions And The Integration Of Refugees,2017.0,"university of london, royal holloway college",european bank for reconstruction and development,principal economist,european bank for reconstruction and development,principal economist,Cevat Giray Aksoy
309,"Calamities, Common Interests, Shared Identity: What Shapes Altruism and Reciprocity?",2017.0,university of london,king's college london,assistant professor,king's college london,assistant professor,Cevat Giray Aksoy
310,The effect of calamities and shared identity on altruism and reciprocity,2017.0,university of london,king's college london,assistant professor,king's college london,assistant professor,Cevat Giray Aksoy
