,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
400,To Segregate Or To Integrate: Education Politics And Democracy,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
401,To Segregate Or To Integrate: Education Politics And Democracy,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
402,Private Schools And The Quality Of Public Education,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
403,The Child Is Father Of The Man: Implications For The Demographic Transition,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
404,"Clans, Guilds, And Markets: Apprenticeship Institutions And Growth In The Pre-Industrial Economy",1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
405,"Clans, Guilds, And Markets: Apprenticeship Institutions And Growth In The Pre-Industrial Economy",1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
406,"Childlessness, Celibacy And Net Fertility In Pre-Industrial England: The Middle-Class Evolutionary Advantage",1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
407,Apprenticeship And The Rise Of Europe,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
408,Endogenous Childlessness And Stages Of Development,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
409,The Economic Causes Of Childlessness,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
410,How Far Can Economic Incentives Explain The French Fertility And Education Transition?,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
411,"Religions, Fertility, And Growth In South-East Asia",1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
412,"Childbearing Postponement, Its Option Value, And The Biological Clock",1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
413,"Strategic Fertility, Education Choices, And Conflicts In Deeply Divided Societies",1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
414,The Academic Market And The Rise Of Universities In Medieval And Early Modern Europe (1000-1800),1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
415,"Driven By Institutions, Shaped By Culture: Human Capital And The Secularization Of Marriage In Italy",1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
416,Nepotism vs. Intergenerational Transmission of Human Capital in Academia (1088--1800),1992.0,universite catholique de louvain,universite catholique de louvain,professor,université catholique de louvain,professor,David De La Croix
417,A Soul's View of the Optimal Population Problem,1992.0,universite catholique de louvain,universite catholique de louvain,professor,université catholique de louvain,professor,David De La Croix
418,A Soul's View of the Optimal Population Problem,1992.0,universite catholique de louvain,universite catholique de louvain,professor,universite catholique de louvain,professor,David De La Croix
