,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
474,Beyond Browsers: Moving On From The Eu Vs Ie Case,2000.0,university of california los angeles,university of florence,professor,university of milan,associate professor,Federico Etro
475,When A Merger Softens Competition: The Oracle-Sun Case,2000.0,university of california los angeles,university of florence,professor,university of milan,associate professor,Federico Etro
476,The Economics Of Cloud Computing,2000.0,university of california los angeles,university of florence,professor,university of florence,professor,Federico Etro
477,Ibm And Microsoft: Tying + Dominance = Abuse?,2000.0,university of california los angeles,university of florence,professor,university of florence,professor,Federico Etro
478,"Portrait Of A Market: Prices, Contracts, And Competition In 17Th-Century Oil Painting",2000.0,university of california los angeles,university of florence,professor,university of florence,professor,Federico Etro
479,Standardisation In High-Tech Sectors,2000.0,university of california los angeles,university of florence,professor,university of florence,professor,Federico Etro
480,Understanding Googles Antitrust Problems,2000.0,university of california los angeles,university of florence,professor,university of venice,professor,Federico Etro
481,Search Advertising,2000.0,university of california los angeles,university of florence,professor,university of venice,professor,Federico Etro
482,The Economics Of Art And The Art Of Economics,2000.0,university of california los angeles,university of florence,professor,university of venice,professor,Federico Etro
483,Innovations By Painters Between Renaissance And Rococo: Towards An Economic Theory Of Art History,2000.0,university of california los angeles,university of florence,professor,university of venice,professor,Federico Etro
484,European Data Protection: Impact Of The Eu Data-Protection Regulation,2000.0,university of california los angeles,university of florence,professor,university of venice,professor,Federico Etro
485,International Trade With Indirect Additivity,2000.0,university of california los angeles,university of florence,professor,university of venice,professor,Federico Etro
486,Google Android: European Techlash Or Milestone In Antitrust Enforcement?,2000.0,university of california los angeles,university of florence,professor,university of florence,professor,Federico Etro
487,Designing regulation for digital platforms,2000.0,university of california los angeles,university of florence,professor,"university of florence, university of florence",professor,Federico Etro
