,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
535,Prudent Monetary Policy: Applications Of Cautious Lqg Control And Prediction,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
536,Do Social Policies Harm Employment? Second-Best Effects Of Taxes And Benefits On Labour Markets,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
537,"Rolling Back The Public Sector - Differential Effects On Unemployment, Investment And Growth",1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
538,The Economics Of Books,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
539,Back To Keynes?,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
540,"Are The Welfare State And Distribution Really That Bad For The Economy? Effects Of Reciprocal Altruism, Consumer Rivalry And Second Best",1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
541,Guide To Reform Of Higher Education: A European Perspective,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
542,Challenges And Opportunities For Resource Rich Economies,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
543,The Political Economy Of Public Investment,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
544,Can The Natural Resource Curse Be Turned Into A Blessing? The Role Of Trade Policies And Institutions,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
545,"Volatility, Financial Development And The Natural Resource Curse",1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
546,Genuine Saving And The Voracity Effect,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
547,"Harnessing Windfall Revenues In Developing Economies: Sovereign Wealth Funds And Optimal Tradeoffs Between Citizen Dividends, Public Infrastructure And Debt Reduction",1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
548,Why Do Many Resource-Rich Countries Have Negative Genuine Saving? Anticipation Of Better Times Or Rapacious Rent Seeking,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
549,Do Natural Resources Attract Fdi? Evidence From Non-Stationary Sector-Level Data,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
550,Absorbing A Windfall Of Foreign Exchange: Dutch Disease Dynamics,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
551,Growth And The Optimal Carbon Tax: When To Switch From Exhaustible Resources To Renewables?,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
552,Natural Resource Wealth: The Challenge Of Managing A Windfall,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
553,Managing And Harnessing Volatile Oil Windfalls,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
554,Abandoning Fossil Fuel: How Fast And How Much?,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
555,Climate Tipping And Economic Growth: Precautionary Saving And The Social Cost Of Carbon,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
556,The Elephant In The Ground: Managing Oil And Sovereign Wealth,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
557,"Intergenerational Inequality Aversion, Growth And The Role Of Damages: Occams Rule For The Global Carbon Tax",1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
558,Second-Best Carbon Taxation In The Global Economy: The Green Paradox And Carbon Leakage Revisited,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
559,Non-Cooperative And Cooperative Responses To Climate Catastrophes In The Global Economy: A North-South Perspective,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
560,Saving Alberta'S Resource Revenues: Role Of Intergenerational And Liquidity Funds,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
561,Macro Policy Responses To Natural Resource Windfalls And The Crash In Commodity Prices,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
562,Second-Best Renewable Subsidies To De-Carbonize The Economy: Commitment And The Green Paradox,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
563,Shifting Frontiers In Global Resource Wealth: The Role Of Policies And Institutions,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
564,The Agnostic'S Response To Climate Deniers: Price Carbon!,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
565,Pricing Carbon Under Economic And Climactic Risks: Leading-Order Results From Asymptotic Analysis,1981.0,university of cambridge,university of oxford,professor,university of oxford,professor,Frederick Van Der Ploeg
566,COMMIT TO A CREDIBLE PATH OF RISING CO2 PRICES,1981.0,university of cambridge,university of oxford,professor,oxford university,professor,Frederick Van Der Ploeg
567,Asset diversification versus climate action,1981.0,university of cambridge,university of oxford,professor,oxford university,professor,Frederick Van Der Ploeg
