,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
707,Exploding Myths About The Gig Economy,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,mckinsey global institute,director,Jacques Bughin
708,The Ascendancy Of International Data Flows,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,mckinsey global institute,director,Jacques Bughin
709,Reviving Investment In Europe,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,mckinsey global institute,director,Jacques Bughin
710,The New Spring Of Artificial Intelligence,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,mckinsey global institute,director,Jacques Bughin
711,Strong Aggregate Demand Is Critical For Reaping Benefits Of Digitisation,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,mckinsey global institute,director,Jacques Bughin
712,Technology Convergence And Ai Divides,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
713,How The Future Of Work May Unfold: A Demand-Side Perspective,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
714,Testing The Resilience Of Europes Inclusive Growth Model,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
715,How To Develop Enough European Ai Startups,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
716,Next-Generation Technologies And The Future Of Trade,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
717,Measuring The Welfare Effects Of Ai And Automation,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
718,The Declining Labour Share Of Income: Accounting For The Main Factors,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
719,Selectivity Versus Reach : Flattening The Curve Of Covid 19 For Joint Health And Economic Prosperity,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,universite libre de bruxelles,lecturer,Jacques Bughin
720,F.O.G. and teleworking: Some labor economics of covid-19,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,,unavailable,Jacques Bughin
721,The Great Employee Divide: Clustering Employee << Well-Being >> Challenge During Covid-19,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,machaodvisory,ceo,Jacques Bughin
722,Fear Of Going Back To Work And Work From Home: Assessing The Employment Allocation Under Covid-19,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,machaodvisory,ceo,Jacques Bughin
723,Covid-19 Endemism And The Control Skeptics,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,machaodvisory,ceo,Jacques Bughin
724,Vaccination or NPI?  A conjoint analysis of German citizens’ preferences,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,machaodvisory,ceo,Jacques Bughin
725,Corporate resilience in the age of Covid: Machine learning insights into the performance trajectory of global firms,1992.0,universite catholique de louvain,universite libre de bruxelles,lecturer,machaodvisory,ceo,Jacques Bughin
