,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
785,Dynamics Of Labor Demand: Evidence From Plant-Level Observations And Aggregate Implications,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
786,The Effect Of Structural Reforms On Productivity And Profitability Enhancing Reallocation: Evidence From Colombia,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
787,The Effects Of Structural Reforms On Productivity- And Profitability-Enhancing Reallocation: Evidence From Colombia,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
788,"Reallocation, Firm Turnover, And Efficiency: Selection On Productivity Or Profitability?",1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
789,Factor Adjustments After Deregulation: Panel Evidence From Colombian Plants,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
790,Factor Adjustments After Deregulation: Panel Evidence From Colombian Plants,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
791,The Flow Approach To Labor Markets: New Data Sources And Micro-Macro Links,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
792,Volatility And Dispersion In Business Growth Rates: Publicly Traded Versus Privately Held Firms,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
793,Reaching For The Stars: Who Pays For Talent In Innovative Industries?,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
794,Technology And The Demand For Skill:An Analysis Of Within And Between Firm Differences,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
795,Implications Of Search Frictions: Matching Aggregate And Establishment-Level Observations,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
796,Measuring The Dynamics Of Young And Small Businesses: Integrating The Employer And Nonemployer Universes,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
797,"Electricity Pricing To Us Manufacturing Plants, 1963-2000",1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
798,Employer-To-Employer Flows In The United States: Estimates Using Linked Employer-Employee Data,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
799,"Assessing Job Flows Across Countries: The Role Of Industry, Firm Size And Regulations",1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
800,Adjusted Estimates Of Worker Flows And Job Openings In Jolts,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
801,"Business Volatility, Job Destruction, And Unemployment",1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
802,Exploring Differences In Employment Between Household And Establishment Data,1981.0,johns hopkins university,university of maryland,professor,university of maryland,professor,John Haltiwanger
