,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
847,How Special Is The Special Relationship? Using The Impact Of Us R&D Spillovers On Uk Firms As A Test Of Technology Sourcing,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
848,Identifying Technology Spillovers And Product Market Rivalry,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
849,Minimum Wages And Firm Profitability,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
850,Measuring And Explaining Management Practices Across Firms And Countries,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
851,"Technology, Information And The Decentralization Of The Firm",1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
852,Measuring And Explaining Management Practices Across Firms And Countries,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
853,"Technology, Information And The Decentralization Of The Firm",1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
854,Uncertainty And Investment Dynamics,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
855,Identifying Technology Spillovers And Product Market Rivalry,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
856,Americans Do It Better: Us Multinationals And The Productivity Miracle,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
857,Americans Do It Better: Us Multinationals And The Productivity Miracle,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
858,"Privatization, Entry Regulation And The Decline Of Labour'S Share Of Gdp: A Cross-Country Analysis Of The Network Industries",1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
859,Can European Firms Close Their Management Gap With The Us?,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
860,Is Distance Dying At Last? Falling Home Bias In Fixed Effects Models Of Patent Citations,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
861,The Evolution Of Inequality In Productivity And Wages: Panel Data Evidence,1992.0,university college london,massachusetts institute of technology,professor,london school of economics and political science,professor,John Van Reenen
