,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
996,Dualism And Aggregate Productivity,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
997,Measuring Trend Output: How Useful Are The Great Ratios?,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
998,Implementation Cycles In The New Economy,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
999,Does External Trade Promote Financial Development?,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
1000,The Geography Of Output Volatility,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
1001,Growth And Labour Markets In Developing Countries,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
1002,Macroeconomic Policy And The Distribution Of Growth Rates,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
1003,Dualism And Cross-Country Growth Regressions,1996.0,university of oxford,freelance,economist,university of bristol,,Jonathan Temple
1004,Regional Growth And Regional Decline,1996.0,university of oxford,freelance,economist,university of bristol,economist,Jonathan Temple
1005,Dynamic Aid Allocation,1996.0,university of oxford,freelance,economist,university of bristol,economist,Jonathan Temple
1006,Foreign Aid And Domestic Absorption,1996.0,university of oxford,freelance,economist,university of bristol,economist,Jonathan Temple
1007,Life During Structural Transformation,1996.0,university of oxford,freelance,economist,university of bristol,economist,Jonathan Temple
1008,Growth Econometrics For Agnostics And True Believers,1996.0,university of oxford,freelance,economist,freelance,economist,Jonathan Temple
1009,Virtuous Circles And The Case For Aid,1996.0,university of oxford,freelance,economist,freelance,economist,Jonathan Temple
