,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1103,Spatial Wage Disparities: Sorting Matters!,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1104,The Mechanisms Of Spatial Mismatch,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1105,Assessing The Effects Of Local Taxation Using Microgeographic Data,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1106,The Effect Of Segregation And Spatial Mismatch On Unemployment: Evidence From France,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1107,The Effect Of Location On Finding A Job In The Paris Region,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1108,"Estimating Agglomeration Economies With History, Geology, And Worker Effects",2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1109,The Productivity Advantages Of Large Cities: Distinguishing Agglomeration From Firm Selection,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1110,Estimating Gender Differences In Access To Jobs: Females Trapped At The Bottom Of The Ladder,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1111,Spatial Disparities In Hospital Performances,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1112,Do Unemployed Workers Benefit From Enterprise Zones? The French Experience,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1113,The Identification Of Agglomeration Economies,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1114,The Employment Effects Of Enterprise Zones: New Evidence From France,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1115,Sorting And Local Wage And Skill Distributions In France,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1116,The Costs Of Agglomeration: House And Land Prices In French Cities,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1117,Evaluating The Effect Of Ownership Status On Hospital Quality: The Key Role Of Innovative Procedures,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1118,Ethnic Unemployment Rates And Frictional Markets,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1119,Accounting For The Ethnic Unemployment Gap In France And The Us,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1120,Evaluating The Law Of One Price Using Micro Panel Data,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1121,The Empirics Of Agglomeration Economies,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1122,Regional Policy Evaluation: Interactive Fixed Effects And Synthetic Controls,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,Institut National d’Etudes Démographiques,junior researcher,Laurent Gobillon
1123,Homeownership Of Immigrants In France: Selection Effects Related To International Migration Flows,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,associate professor,Laurent Gobillon
1124,Immigrants And Homeownership,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,associate professor,Laurent Gobillon
1125,The Production Function For Housing: Evidence From France,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,associate professor,Laurent Gobillon
1126,The Local Effects Of An Innovation: Evidence From The French Fish Market,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,associate professor,Laurent Gobillon
1127,Competition And Hospital Quality: Evidence From A French Natural Experiment,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,associate professor,Laurent Gobillon
1128,Differences In Positions Along A Hierarchy: Counterfactuals Based On An Assignment Model,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,associate professor,Laurent Gobillon
1129,Hospital Competition And Performance In France,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,associate professor,Laurent Gobillon
1130,Delineating Urban Areas Using Building Density,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,professor,Laurent Gobillon
1131,Delineating Urban Areas Using Building Density,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,professor,Laurent Gobillon
1132,Urban economics in a historical perspective: Recovering data with machine learning,2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,professor,Laurent Gobillon
1133,"Urban Economics, Historical Data, And Machine Learning",2002.0,ecole nationale des hautes etudes en sciences sociales (ehess),paris school of economics,professor,paris school of economics,professor,Laurent Gobillon
