,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1243,The Impact Of The Global Financial Crisis On The Worlds Poorest,1981.0,london school of economics and political science,georgetown university,chair,world bank,director,Martin Ravallion
1244,Why Have Developing-Country Data On Real Incomes Been Revised So Much?,1981.0,london school of economics and political science,georgetown university,chair,world bank,director,Martin Ravallion
1245,Your New Composite Index Has Arrived: Please Handle With Care,1981.0,london school of economics and political science,georgetown university,chair,world bank,director,Martin Ravallion
1246,Valuing Longevity In The Human Development Index,1981.0,london school of economics and political science,georgetown university,chair,world bank,director,Martin Ravallion
1247,Poverty Enlightenment: Awareness Of Poverty Over Three Centuries,1981.0,london school of economics and political science,georgetown university,chair,world bank,director,Martin Ravallion
1248,The Idea Of Antipoverty Policy,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1249,Lessons From A History Of Thought On Poverty,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1250,An Exploration Of The International Comparison Program'S New Global Economic Landscape,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1251,Are The Worlds Poorest Being Left Behind?,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1252,Assessing Progress For The Poorest: New Evidence,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1253,Inconsistent Policy Evaluation: A Case Study For A Large Workfare Program,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1254,"Benefit Incidence With Incentive Effects, Measurement Errors And Latent Heterogeneity: A Case Study For China",1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1255,Inequality When Effort Matters,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1256,The Economics Of Poverty,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1257,Social Frictions To Knowledge Diffusion: Evidence From An Information Intervention,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1258,"Growth, Urbanization And Poverty Reduction In India",1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1259,Revisiting Poverty Reduction In India With 60 Years Of Data,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1260,A Poor Means Test? Econometric Targeting In Africa,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1261,Informational Constraints On Antipoverty Programmes,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1262,Arguments Against Basic Income Are Straw Men,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1263,Welfare-Consistent Global Poverty Measures,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1264,Global Poverty Revisited,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1265,Are Poor Individuals Mainly Found In Poor Households? Evidence Using Nutrition Data For Africa,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
1266,Global Inequality When Unequal Countries Create Unequal People,1981.0,london school of economics and political science,georgetown university,chair,georgetown university,chair,Martin Ravallion
