,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1318,The Macroeconomics Of Knowledge Management: Internal Hold-Up Versus Technological Competition,2000.0,university of paris,university of lausanne,professor,cnrs centre national de la recherche scientifique,research fellow,Mathias Thoenig
1319,Financial Market Development And The Rise In Firm Level Uncertainty,2000.0,university of paris,university of lausanne,professor,cnrs centre national de la recherche scientifique,research fellow,Mathias Thoenig
1320,Make Trade Not War?,2000.0,university of paris,university of lausanne,professor,cnrs centre national de la recherche scientifique,research fellow,Mathias Thoenig
1321,Trade And/Or War?,2000.0,university of paris,university of lausanne,professor,cnrs centre national de la recherche scientifique,research fellow,Mathias Thoenig
1322,Civil War: Does International Trade Help Or Hurt?,2000.0,university of paris,university of lausanne,professor,cnrs centre national de la recherche scientifique,research fellow,Mathias Thoenig
1323,Civil Wars And International Trade,2000.0,university of paris,university of lausanne,professor,cnrs centre national de la recherche scientifique,research fellow,Mathias Thoenig
1324,Growth And Risk At The Industry Level: The Real Effects Of Financial Liberalization,2000.0,university of paris,university of lausanne,professor,cnrs centre national de la recherche scientifique,research fellow,Mathias Thoenig
1325,Contrasting Trends In Firm Volatility: Theory And Evidence,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1326,Product-Based Cultural Change: Is The Village Global?,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1327,The Geography Of Conflicts And Free Trade Agreements,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1328,Free Trade Agreements: Do They Help Keep The Peace?,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1329,"War Signals: A Theory Of Trade, Trust And Conflict",2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1330,Seeds Of Distrust: Conflict In Uganda,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1331,The Economic Incentives Of Cultural Transmission: Spatial Evidence From Naming Patterns Across France,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1332,Welfare And Trade Without Pareto,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1333,This Mine Is Mine! How Minerals Fuel Conflicts In Africa,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1334,Networks In Conflict: Theory And Evidence From The Great War Of Africa,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1335,"From Micro To Macro: Demand, Supply, And Heterogeneity In The Trade Elasticity",2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1336,"The Violent Legacy Of Victimization: Post-Conflict Evidence On Asylum Seekers, Crimes And Public Policy In Switzerland",2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1337,Violence By Asylum Seekers: Role Of Home Nation Conflict,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1338,Countering The Mining Curse,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1339,The Logic Of Fear - Populism And Media Coverage Of Immigrant Crimes,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1340,The Media Coverage Of Immigrant Criminality,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1341,Ethnic Conflicts And The Informational Dividend Of Democracy,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1342,The Refugees Dilemma: Evidence From Jewish Migration Out Of Nazi Germany,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1343,Heat And Hate: Climate Security And Farmer-Herder Conflicts In Africa,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1344,The Elusive Peace Dividend Of Development Policy: From War Traps To Macro-Complementarities,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1345,How Asylum Policies Deterred Jewish Migration Out Of Nazi Germany,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1346,Reconciliation Narratives: The Birth of a Nation after the US Civil War,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
1347,Memory and reconciliation: The dangers of common enemy narratives,2000.0,university of paris,university of lausanne,professor,university of lausanne,professor,Mathias Thoenig
