,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1366,Good Versus Bad Deflation: Lessons From The Gold Standard Era,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1367,"The Yield Curve, Recessions And The Credibility Of The Monetary Regime: Long Run Evidence 1875-1997",1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1368,Monetary Policy And Asset Prices: A Look Back At Past Us Stock Market Booms,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1369,Keeping Capital Flowing: The Role Of The Imf,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1370,Deflation And Monetary Policy In A Historical Perspective: Remembering The Past Or Being Condemned To Repeat It?,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1371,"Financial Crises, 1880-1913: The Role Of Foreign Currency Debt",1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1372,Historical Perspective On Global Imbalances,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1373,"Seventy Years Of Central Banking: The Bank Of Canada In International Context, 1935-2005",1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1374,Review Of A History Of The Federal Reserve Volume 1 (2003) By Allan H Meltzer,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1375,The Role Of Foreign Currency Debt In Financial Crises: 1880-1913 Vs 1972-1997,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1376,Legal-Political Factors And The Historical Evolution Of The Finance-Growth Link,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1377,"One World Money, Then And Now",1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1378,"Currency Mismatches, Default Risk, And Exchange Rate Depreciation: Evidence From The End Of Bimetallism",1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1379,"Sudden Stops, Financial Crises, And Original Sin In Emerging Countries: Deja Vu?",1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1380,Swiss Exchange Rate Policy In The 1930S Was The Delay In Devaluation Too High A Price To Pay For Conservatism?,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1381,David Laidler On Monetarism,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1382,The Historical Origins Of Us Exchange Market Intervention Policy,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1383,Growing Up To Financial Stability,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1384,Three Great American Disinflations,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1385,"Sudden Stops: Determinants And Output Effects In The First Era Of Globalization, 1880-1913",1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
1386,Foreign Capital And Economic Growth In The First Era Of Globalization,1972.0,University of Chicago,rutgers university,professor,rutgers university,professor,Michael D Bordo
