,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1614,The Feldstein-Horioka Fact,2003.0,universite libre de bruxelles,european central bank,head,european central bank,economist,Michele Lenza
1615,Explaining The Great Moderation: It Is Not The Shocks,2003.0,universite libre de bruxelles,european central bank,head,european central bank,economist,Michele Lenza
1616,Business Cycles In The Euro Area,2003.0,universite libre de bruxelles,european central bank,head,european central bank,economist,Michele Lenza
1617,The Euro Hasnt Changed European Business Cycles,2003.0,universite libre de bruxelles,european central bank,head,european central bank,economist,Michele Lenza
1618,Business Cycles In The Euro Area,2003.0,universite libre de bruxelles,european central bank,head,european central bank,economist,Michele Lenza
1619,The Feldstein-Horioka Fact,2003.0,universite libre de bruxelles,european central bank,head,european central bank,economist,Michele Lenza
1620,Monetary Policy In Exceptional Times,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1621,Phasing Out Monetary Policy In The Eurozone,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1622,Short-Term Inflation Projections: A Bayesian Vector Autoregressive Approach,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1623,Market Freedom And The Global Recession,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1624,Non-Standard Monetary Policy Measures And Monetary Developments,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1625,Debating Core Inflation,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1626,Prior Selection For Vector Autoregressions,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1627,The Ecb And The Interbank Market,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1628,"Money, Credit, Monetary Policy And The Business Cycle In The Euro Area",2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1629,Prior Selection For Vector Autoregressions,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1630,Conditional Forecasts And Scenario Analysis With Vector Autoregressions For Large Cross-Sections,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1631,The Financial And Macroeconomic Effects Of Omt Announcements,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1632,Priors For The Long Run,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1633,Economic Predictions With Big Data: The Illusion Of Sparsity,2003.0,universite libre de bruxelles,european central bank,head,european central bank,senior economist,Michele Lenza
1634,Economic Predictions With Big Data: The Illusion Of Sparsity,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1635,Household Heterogeneity And The Transmission Of Monetary Policy In The Euro Area,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1636,What'S Up With The Phillips Curve?,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1637,What‚Äö?Ñ?¥s up with the Phillips Curve?,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1638,How to Estimate a VAR after March 2020,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1639,How to Estimate a VAR after March 2020,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1640,Why inflation in the US has been so stable since the 1990s,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1641,Nowcasting With Large Bayesian Vector Autoregressions,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head,Michele Lenza
1642,How Does Monetary Policy Affect Income and Wealth Inequality? Evidence from Quantitative Easing in the Euro Area,2003.0,universite libre de bruxelles,european central bank,head,european central bank,head of section,Michele Lenza
