,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1809,Land Prices And Business Fixed Investments In Japan,1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1810,Winners And Losers In Housing Markets,1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1811,Adjusting To Capital Account Liberalization,1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1812,"Liquidity, Business Cycles, And Monetary Policy",1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1813,"Banking, Liquidity And Bank Runs In An Infinite-Horizon Economy",1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1814,Wholesale Banking And Bank Runs In Macroeconomic Modelling Of Financial Crises,1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1815,The Great Escape? A Quantitative Evaluation Of The Feds Liquidity Facilities,1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1816,A Macroeconomic Model With Financial Panics,1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1817,"Credit Booms, Financial Crises and Macroprudential Policy",1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
1818,Credit Horizons,1981.0,harvard university,princeton university,professor,princeton university,professor,Nobuhiro Kiyotaki
