,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2139,Deposit Insurance And External Finance,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2140,Has Monetary Policy Become More Efficient? A Cross Country Analysis,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2141,Do Capital Adequacy Requirements Matter For Monetary Policy?,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2142,Assessing The Sources Of Changes In The Volatility Of Real Growth,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2143,Measuring The Macroeconomic Risks Posed By Asset Price Booms,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2144,Why Core Inflation?,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2145,Housing In Inflation Measurement,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2146,Inevitable Future Of Health Care,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2147,Subprime Crisis: Faqs,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2148,Subprime 'Crisis': Faqs (Revised & Updated),1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2149,Subprime Crisis: Progress Report And More Faqs,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2150,Subprime Fallout: Preparing For The Next Financial Crisis,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2151,"Subprime Series, Part 1: Financial Crises Are Not Going Away",1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2152,"Subprime Series, Part 2: Deposit Insurance And The Lender Of Last Resort",1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2153,"Subprime Series, Part 3: Why Central Banks Should Be Financial Supervisors",1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2154,"Subprime Series, Part 4: Monetary Policy And Risk Taking",1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2155,Joint Central Banks Action On Subprime Crisis: Faqs,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2156,The Feds Emergency Interest Cut: Theres A New Sheriff In Town,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2157,Federal Reserve Policy Responses To The Crisis Of 2007-08,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2158,Crisis And Responses: The Federal Reserve And The Financial Crisis Of 2007-2008,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2159,How Central Bankers See It: The First Decade Of Ecb Policy And Beyond,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2160,"Rescue, Recovery, Reform",1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2161,Financial Crises And Economic Activity,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2162,Inflation Targeting And Private Sector Forecasts,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2163,Financial Crises Are Different!,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2164,Financial Crises And Economic Activity,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2165,Strengthening The Financial System: The Benefits Outweigh The Costs,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
2166,Breaking The Crisis Cycle,1982.0,university of california berkley,brandeis university,rosen family chair in international finance,brandeis university,professor,Stephen G Cecchetti
